Date,Open,High,Low,Close,Adj_Close,Volume,Name
2018-01-02,58.599998,59.5,58.525501,59.4505,59.4505,53890000,Amazon
2018-01-03,59.415001,60.274502,59.415001,60.209999,60.209999,62176000,Amazon
2018-01-04,60.25,60.793499,60.233002,60.4795,60.4795,60442000,Amazon
2018-01-05,60.8755,61.457001,60.5,61.457001,61.457001,70894000,Amazon
2018-01-08,61.799999,62.653999,61.601501,62.343498,62.343498,85590000,Amazon
2018-01-09,62.845001,62.966499,62.088001,62.634998,62.634998,73226000,Amazon
2018-01-10,62.2575,62.716499,61.8615,62.716499,62.716499,53720000,Amazon
2018-01-11,62.987,63.838501,62.823002,63.834,63.834,62500000,Amazon
2018-01-12,63.669498,65.288002,63.669498,65.260002,65.260002,108874000,Amazon
2018-01-16,66.150002,66.997002,64.614998,65.242996,65.242996,144414000,Amazon
2018-01-17,65.612,65.699997,64.043999,64.75,64.75,105076000,Amazon
2018-01-18,64.697502,65.230003,64.200996,64.666,64.666,80538000,Amazon
2018-01-19,65.599998,65.650002,64.649498,64.728996,64.728996,91570000,Amazon
2018-01-22,64.858498,66.372498,64.833,66.365501,66.365501,82802000,Amazon
2018-01-23,66.904503,68.245003,66.866997,68.126999,68.126999,103386000,Amazon
2018-01-24,68.740997,69.407997,66.900002,67.875504,67.875504,136150000,Amazon
2018-01-25,68.400002,68.917,67.880997,68.897499,68.897499,95060000,Amazon
2018-01-26,69.600502,70.126503,69.045502,70.102501,70.102501,97146000,Amazon
2018-01-29,70.459,71.569504,70.022003,70.884003,70.884003,114038000,Amazon
2018-01-30,70.158501,71.962502,69.599998,71.890999,71.890999,117438000,Amazon
2018-01-31,72.565002,73.628998,72.501999,72.544502,72.544502,128494000,Amazon
2018-02-01,72.25,72.994003,69.257004,69.5,69.5,182276000,Amazon
2018-02-02,73.869499,74.900002,70.699997,71.497498,71.497498,222514000,Amazon
2018-02-05,70.130997,72.948997,66.036003,69.5,69.5,229900000,Amazon
2018-02-06,68.072998,72.199501,67.5895,72.141998,72.141998,221336000,Amazon
2018-02-07,72.449997,73.0495,70.7575,70.838997,70.838997,143254000,Amazon
2018-02-08,71.484001,71.6875,67.497002,67.525002,67.525002,171572000,Amazon
2018-02-09,68.6745,69.175003,63.296501,66.980003,66.980003,282830000,Amazon
