,Date,Open,Volume,Market Capitalization,Coin Name
0,2018-01-02 00:00:00.000,9.09039322406542,61271745.9701922,900076194.687614,binancecoin
1,2018-01-03 00:00:00.000,9.886323100553348,53274170.71644214,978884395.4781892,binancecoin
2,2018-01-04 00:00:00.000,9.675757666836406,93420651.3976519,958035469.62414,binancecoin
3,2018-01-05 00:00:00.000,16.488523208942993,337499050.3706429,1632594637.0102818,binancecoin
4,2018-01-06 00:00:00.000,24.369904809962087,635785335.0515877,2412961754.853586,binancecoin
5,2018-01-07 00:00:00.000,19.342609184160256,232388598.32898545,1915189105.760444,binancecoin
6,2018-01-08 00:00:00.000,19.213160457388454,273476574.6311007,1902371869.5278609,binancecoin
7,2018-01-09 00:00:00.000,18.978822159045176,178346673.32356125,1879169097.2556992,binancecoin
8,2018-01-10 00:00:00.000,18.074112986027988,111566126.36572072,1789590223.1985753,binancecoin
9,2018-01-11 00:00:00.000,22.11006761076647,360581509.3176965,2189206234.4124312,binancecoin
10,2018-01-12 00:00:00.000,23.914921777474607,368308961.0641766,2367912064.874871,binancecoin
11,2018-01-13 00:00:00.000,23.564984313112777,153724664.56557965,2333263356.7785487,binancecoin
12,2018-01-14 00:00:00.000,21.993910234458383,108699094.917908,2177705027.9546623,binancecoin
13,2018-01-15 00:00:00.000,20.776410632506227,220841071.0352391,2057155522.366972,binancecoin
14,2018-01-16 00:00:00.000,14.271789985128768,358680719.7110673,1413107013.58754,binancecoin
15,2018-01-17 00:00:00.000,14.588799163558992,268378075.29195336,1444495360.38063,binancecoin
16,2018-01-18 00:00:00.000,14.77328995370286,182883599.9694015,1462762531.475935,binancecoin
17,2018-01-19 00:00:00.000,15.37896612834908,114370659.86970893,1522732952.2323556,binancecoin
18,2018-01-20 00:00:00.000,16.82245256941068,134928573.53306362,1665658318.7076287,binancecoin
19,2018-01-21 00:00:00.000,14.401645763988126,122467851.50709146,1425964553.6755204,binancecoin
20,2018-01-22 00:00:00.000,13.183408210852004,110416823.79263388,1305341980.5893002,binancecoin
21,2018-01-23 00:00:00.000,13.16548379005424,70851044.18160547,1303567211.9884305,binancecoin
22,2018-01-24 00:00:00.000,13.555624316282572,82190454.43879427,1342196586.0524025,binancecoin
23,2018-01-25 00:00:00.000,13.241262926733071,87328527.67142557,1311070407.4275484,binancecoin
24,2018-01-26 00:00:00.000,13.07623699156532,94845524.66154034,1294730529.4828486,binancecoin
25,2018-01-27 00:00:00.000,13.338049921339444,84817990.41645102,1320653674.9115036,binancecoin
26,2018-01-28 00:00:00.000,13.509325087662312,75486161.26269642,1337612314.2297964,binancecoin
27,2018-01-29 00:00:00.000,12.714301970207767,55379925.981761225,1258893895.2781518,binancecoin
28,2018-01-30 00:05:17.080,12.730467919083532,54516384.9245739,1260494550.5401368,binancecoin
