date,price,total_volume,market_cap,coin_name
2017-10-18 00:00:00.000,0.02684535467621909,2351678.122306208,696021404.3079604,cardano
2017-10-19 00:00:00.000,0.026829950465728686,2815155.9695999967,695622018.2559936,cardano
2017-10-20 00:00:00.000,0.030299606216252807,8883473.082062634,785580027.6424098,cardano
2017-10-21 00:00:00.000,0.028587962639027336,5308856.917095766,741202123.8797704,cardano
2017-10-22 00:00:00.000,0.027796038407662104,2901876.1220860113,720669848.4724126,cardano
2017-10-23 00:00:00.000,0.026045125887389137,3505126.543112243,675273816.053428,cardano
2017-10-24 00:00:00.000,0.02741740303131111,7822397.543947947,710852942.3615782,cardano
2017-10-25 00:00:00.000,0.027269301575107045,2513886.637623913,707013105.4597949,cardano
2017-10-26 00:00:00.000,0.026591400393809417,2369400.241402218,689437113.7144977,cardano
2017-10-27 00:00:00.000,0.026509621493760783,2569633.7793355323,687316826.4044167,cardano
2017-10-28 00:00:00.000,0.025976412766541904,1729975.2725138243,673492286.1223357,cardano
2017-10-29 00:00:00.000,0.02835203544137527,4636164.255564146,735085222.7844126,cardano
2017-10-30 00:00:00.000,0.028385407497551127,3794753.02010408,735950462.4388821,cardano
2017-10-31 00:00:00.000,0.03025109529644789,7251416.950220154,784322281.6027644,cardano
2017-11-01 00:00:00.000,0.023096036249201986,7901021.254424323,598812560.9812648,cardano
2017-11-02 00:00:00.000,0.021320577458857376,5955251.345757528,552780115.686688,cardano
2017-11-03 00:00:00.000,0.022789425903364136,3029089.7359041288,590863052.9170463,cardano
2017-11-04 00:00:00.000,0.021802078918245652,2455852.8375674905,565264037.9883977,cardano
2017-11-05 00:00:00.000,0.022026315814418173,2245833.516085977,571077843.8126849,cardano
2017-11-06 00:00:00.000,0.022303564694850217,4843621.340865689,578266095.092228,cardano
2017-11-07 00:00:00.000,0.022288565665913324,2527154.86620952,577877214.2109797,cardano
2017-11-08 00:00:00.000,0.025146348345649026,6534368.134450486,651971147.3307619,cardano
2017-11-09 00:00:00.000,0.03276949505442782,20628139.78678138,849617009.7707922,cardano
2017-11-10 00:00:00.000,0.02729304274337792,6563683.784283738,707628644.4042084,cardano
2017-11-11 00:00:00.000,0.027498518721010355,5632137.891194862,712956034.570149,cardano
2017-11-12 00:00:00.000,0.024521650906143423,7550744.664248699,635774572.7517922,cardano
2017-11-13 00:00:00.000,0.025114287383622588,4284485.972081597,651139900.5067863,cardano
2017-11-14 00:00:00.000,0.0262283052840494,3183479.97319462,680023121.191746,cardano
2017-11-15 00:00:00.000,0.02601455327855,6362414.67189926,674481157.867525,cardano
2017-11-16 00:00:00.000,0.0271062720187573,4825255.352786,702786226.652537,cardano
2017-11-17 00:00:00.000,0.0259167531670733,3514321.2781959,671945487.478645,cardano
2017-11-18 00:00:00.000,0.0265277202424606,2984199.94886132,687786073.938608,cardano
2017-11-19 00:00:00.000,0.0277212109355903,4652800.37716365,718729791.325827,cardano
2017-11-20 00:00:00.000,0.0300027359042463,15546079.3945352,777883050.122379,cardano
2017-11-21 00:00:00.000,0.0285982155306659,5910630.57601447,741467951.324501,cardano
2017-11-22 00:00:00.000,0.0287315492166677,4912298.82371421,744924903.206561,cardano
2017-11-23 00:00:00.000,0.0279406665612257,5222693.56006724,724419632.811637,cardano
2017-11-24 00:00:00.000,0.0285119374458932,5653201.55570934,739231013.334716,cardano
2017-11-25 00:00:00.000,0.0306147875989473,6199363.76514505,793751757.583795,cardano
2017-11-26 00:00:00.000,0.0385478736298579,30963775.9962897,999433438.691236,cardano
2017-11-27 00:00:00.000,0.0504690379751281,81568060.7251049,1308514307.56615,cardano
2017-11-28 00:00:00.000,0.120725683497858,341785540.016436,3130063311.79723,cardano
2017-11-29 00:00:00.000,0.0926358698508062,170782434.03361,2401776731.97084,cardano
2017-11-30 00:00:00.000,0.124064710988949,123583686.659491,3216634513.08707,cardano
2017-12-01 00:00:00.000,0.130849110282103,54354032.9357827,3392534112.11863,cardano
2017-12-02 00:00:00.000,0.135290045772832,42520482.6866604,3507674559.84146,cardano
2017-12-03 00:00:00.000,0.131928545432995,33634685.3082435,3420520703.41699,cardano
2017-12-04 00:00:00.000,0.136318229854403,73582496.3415025,3534332361.0504,cardano
2017-12-05 00:00:00.000,0.131266070674367,50109378.7410912,3403344673.62041,cardano
2017-12-06 00:00:00.000,0.128998005781454,71389916.560964,3344540395.15708,cardano
2017-12-07 00:00:00.000,0.113499775677648,63143994.7068038,2942716690.04155,cardano
2017-12-08 00:00:00.000,0.119771110477752,72541326.961392,3105314029.77127,cardano
2017-12-09 00:00:00.000,0.122069680246509,63562094.4422698,3164909210.30234,cardano
2017-12-10 00:00:00.000,0.110753179803104,44638620.0146595,2871505505.06286,cardano
2017-12-11 00:00:00.000,0.120168304834103,39074223.8449904,3115612115.86568,cardano
2017-12-12 00:00:00.000,0.133573902305472,62282284.1916909,3463179987.1099,cardano
2017-12-13 00:00:00.000,0.134376501748155,62897525.7246977,3483989039.4741,cardano
2017-12-14 00:00:00.000,0.217011359286374,237044480.930081,5626468819.76509,cardano
2017-12-15 00:00:00.000,0.217634409481701,213587305.957,5642622686.12803,cardano
2017-12-16 00:00:00.000,0.408204448101932,669971136.228786,10583545519.8641,cardano
2017-12-17 00:00:00.000,0.475589482657346,590821285.865066,12330642063.9879,cardano
2017-12-18 00:00:00.000,0.506894865185778,227825786.869163,13142298925.0217,cardano
2017-12-19 00:00:00.000,0.547831246289424,275998423.608346,14203659365.4663,cardano
2017-12-20 00:00:00.000,0.492296744072274,184667810.643851,12763812409.1896,cardano
